Etiqueta,SBERT_mean,SBERT_max,SBERT_p90,SBERT_var,CNN-SBERT_mean,CNN-SBERT_max,CNN-SBERT_p90,CNN-SBERT_var,BLSTM-SBERT_mean,BLSTM-SBERT_max,BLSTM-SBERT_p90,BLSTM-SBERT_var,Attention-SBERT_mean,Attention-SBERT_max,Attention-SBERT_p90,Attention-SBERT_var
0,0.8403088450431824,0.9261760711669922,0.8958986401557922,0.00199137139134109,0.9284582138061523,0.9603901505470276,0.9483280777931213,0.0002982006990350783,0.8918363451957703,0.9537225961685181,0.9309448599815369,0.0008961060084402561,0.8817740082740784,0.940839946269989,0.9149280786514282,0.0006228698184713721
0,0.9078717231750488,0.9503720998764038,0.9393813610076904,0.0006414023810066283,0.9487720131874084,0.9596858024597168,0.9564663171768188,4.940759754390456e-05,0.9135014414787292,0.9423600435256958,0.9368796348571777,0.00035530366585589945,0.9096366763114929,0.9376299381256104,0.9324562549591064,0.0003592278517317027
0,0.9096697568893433,0.9478166103363037,0.9339639544487,0.00032940981327556074,0.9426136016845703,0.9591512680053711,0.9531802535057068,7.279850251507014e-05,0.9191296696662903,0.9607247114181519,0.947753369808197,0.000549276068340987,0.9133840799331665,0.9500715136528015,0.9387392401695251,0.0003382819122634828
0,0.8796228170394897,0.9340457320213318,0.9243971109390259,0.0020152349025011063,0.9358934164047241,0.9608938097953796,0.951433539390564,0.0003623507800512016,0.9095752835273743,0.9554344415664673,0.9389027953147888,0.0007859479519538581,0.9017226696014404,0.9497597217559814,0.9359776973724365,0.0010185936698690057
1,0.882308840751648,0.9322391748428345,0.9256494045257568,0.0007715249666944146,0.9314820766448975,0.9565473794937134,0.9501726031303406,0.0002776187320705503,0.8905037045478821,0.9356032013893127,0.9222855567932129,0.0008217559661716223,0.8792413473129272,0.9353153705596924,0.9189081788063049,0.0012771380133926868
1,0.9186689853668213,0.9536595344543457,0.9382472038269043,0.0002469938772264868,0.9532477855682373,0.9689162373542786,0.9591572880744934,3.6251414712751284e-05,0.9217822551727295,0.9651716351509094,0.9440593719482422,0.0004417705931700766,0.9202055335044861,0.9593465924263,0.9374165534973145,0.00024702426162548363
0,0.8936682343482971,0.95063716173172,0.9322627186775208,0.0007618004456162453,0.9412156343460083,0.9611395001411438,0.9556872248649597,0.00011215213453397155,0.9175931215286255,0.9564224481582642,0.9438502788543701,0.00032177986577153206,0.907431423664093,0.9546078443527222,0.9352012872695923,0.00039509267662651837
0,0.9237849712371826,0.9385636448860168,0.9372978806495667,0.0002764585369732231,0.9510946869850159,0.9537794589996338,0.9533200860023499,5.599958512902958e-06,0.9310908913612366,0.9380475878715515,0.9360312819480896,2.4281032892758958e-05,0.9288275241851807,0.9328169822692871,0.932415783405304,1.8508249922888353e-05
1,0.8727709650993347,0.9639387130737305,0.9339865446090698,0.004424341022968292,0.933044970035553,0.9657960534095764,0.9577962160110474,0.0005825875559821725,0.8965556025505066,0.9555075764656067,0.9321821331977844,0.0018717689672484994,0.8837045431137085,0.9552671909332275,0.9277409315109253,0.002176356501877308
1,0.8926358222961426,0.9313270449638367,0.9167217016220093,0.0004729935899376869,0.9452555775642395,0.9613457918167114,0.9565180540084839,5.9971160226268694e-05,0.902193546295166,0.931890606880188,0.9273300170898438,0.0005542165599763393,0.8985767364501953,0.9291163682937622,0.9222951531410217,0.00035696738632395864
1,0.9480843544006348,0.9526809453964233,0.9520029425621033,1.875356065283995e-05,0.9616295695304871,0.9695777297019958,0.9674022197723389,3.23148888128344e-05,0.9540843367576599,0.9562703967094421,0.9557169675827026,2.5641536467446713e-06,0.9481576085090637,0.9521828293800354,0.9515119194984436,1.2900429283035919e-05
1,0.8498592972755432,0.9264730215072632,0.9127362966537476,0.002781706163659692,0.9307053685188293,0.9560101628303528,0.9508297443389893,0.0004272600344847888,0.9049578309059143,0.9562491178512573,0.939079225063324,0.0009058802388608456,0.8796954154968262,0.9427784085273743,0.927819013595581,0.0014461858663707972
